Advertiser Currency,Channel,Creative Size,Revenue (Adv Currency),Impressions,Active View: Viewable Impressions,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions
USD,mogo marks natl elite cat-aff-im sx,300x600,1707.32743,101326,83380,111,635,46,589
USD,mogo t1 brand sx,336x280,13.578731,1507,1338,0,1,0,1
USD,Android Top Selling Free Health and Fitness,300x600,13.982785,522,486,10,0,0,0
USD,Pac Fox Atlanta EXCLUSION List,300x50,7.803136,3330,3194,0,41,0,41
USD,mogo marks lal (purchase) silver sx,300x50,1382.861734,160811,152887,104,4143,67,4076
USD,mogo marks philadelphia sx,970x90,0.010114,1,0,0,0,0,0
USD,mogo marks sacramento sx,970x66,0.026533,6,2,0,0,0,0
USD,sfjazz travel sx,320x50,269.69863,25329,23838,306,401,328,73
USD,/All Apps/Google Play/Games/Casual,300x50,2.664258,525,503,6,0,0,0
USD,APACTix Sitelist sx,320x50,169.98505,6585,5481,5,14,0,14
USD,Android Top Selling Free Entertainment,320x100,0.056865,128,108,1,0,0,0
USD,Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,970x250,8597.348439,1003278,881816,1469,3101,463,2638
USD,mogo lydia peacecenter test,970x250,5623.149093,779850,698318,1026,1735,336,1399
USD,mogo marks wedding sx,468x60,0.002216,1,0,0,0,0,0
USD,pac motorsports sx,468x60,0.00964,2,0,0,0,0,0
USD,/All Apps/Apple App Store/Games/Board,728x90,1173.539453,436072,420800,1988,184,174,10
USD,Provident High CTR List ,300x250,3007.341046,201527,187872,253,2,0,2
USD,bbb kpi sx (2019),300x600,71.193667,5482,5072,3,92,0,92
USD,mogo marks branding drhbx platinum sx,970x90,28.004663,1457,1233,2,5,0,5
USD,mogo marks video branding extended reach tail aggregate sx,970x90,140.466223,11861,10224,11,13,0,13
USD,mogo marks wedding sx,300x250,50.733106,4015,3150,0,25,0,25
USD,zt local austin sx,160x600,3.255903,738,574,0,1,0,1
USD,/All Apps/Apple App Store/Music,160x600,0.053331,5,3,1,0,0,0
USD,/All Apps/Google Play/Games/Educational,320x50,1.376404,2231,2173,3,4,3,1
USD,DO NOT USE Tier 3,120x600,5.586385,1298,923,1,0,0,0
USD,DO NOT USE Tier 3* (CHANNEL),240x400,0.109962,11,6,0,0,0,0
USD,Duxiana - KPI sx,320x50,5131.646725,552407,514335,2020,1109,1075,34
USD,PAC Singapore Rugby sx,970x250,0.674115,27,22,0,0,0,0
USD,Stratford KPI revised,320x50,87.343432,23538,22389,21,108,16,92
USD,mogo marks branding max reach sx,320x50,121297.668,34413434,31650660,35738,48583,12269,36314
USD,mogo marks pav kpi sx 3,320x100,0.61088,81,57,0,0,0,0
USD,mogo marks xsl_74205 sx ,300x100,0.036278,9,9,0,0,0,0
USD,mogo marks xsl_ks0001 sx,250x250,71.210788,8820,7275,1,12,0,12
USD,mogo music sx,300x600,144.045944,11691,9591,9,56,4,52
USD,mogo sports sx,250x250,0.931577,119,82,0,0,0,0
USD,/All Apps/Google Play/News & Magazines,320x100,0.01928,18,15,0,0,0,0
USD,Android Top Selling Free Travel and Local,300x50,0.08987,60,54,0,0,0,0
USD,DO NOT USE Invite US Expandable Enabled Sites,300x600,536.255144,69660,55980,68,194,17,177
USD,Stratford Black RT SX,160x600,0.115007,14,14,0,0,0,0
USD,mogo black sx,300x250,2797.024843,408610,336003,331,942,75,867
USD,mogo education sx,300x600,367.4804,55301,48305,42,298,8,290
USD,mogo marks branding tier 1 sx xls37852,250x250,56.855975,8051,6590,4,9,0,9
